organization_name,communityId,country
ASSOCIACAO SMART WASTE PORTUGAL,408,PT
FLUX50,409,BE
BIRDSHADES INNOVATIONS GMBH,420,AT
EIT RAWMATERIALS NORTH AB,421,SE
EIT RAWMATERIALS CLC CENTRAL,422,FR
EXIT071 BV,428,NL
ASOCIACIJA LITBAN,429,LT
KLUB POSLOVNI ANGELI SLOVENIJE,431,SI
FINNISH BUSINESS ANGELS NETWORK RY,432,FI
LATVIJAS BIZNESA ENGELU TIKLS,433,LV
ENTHEC SOLUTIONS SL,434,ES
"FONDAZIONE PIETRO GIACOMO RUSCONI,VILLA GHIGI, PER L'INNOVAZIONE URBANA",439,IT
BRAINPORT DEVELOPMENT NV,441,NL
STICHTING RED BLUEJAY,442,NL
BUSINESS TURKU OY AB,443,FI
LIVCARE SL,444,ES
COBINANGELS SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,451,PL
VIESOJI ISTAIGA KAUNO MOKSLO IR TECHNOLOGIJU PARKAS,453,LT
STARTUP MIGRANTS UG (HAFTUNGSBESCHRAENKT),454,DE
PARQUE TECNOLOGICO DE ANDALUCIA SA-PTA,455,ES
PUBLIC UNION UKRAINIAN PRIVATE EQUITY AND VENTURE CAPITAL ASSOCIATION,456,UA
KORALO GMBH,457,DE
FORMIT - FONDAZIONE PER LA RICERCA SULLA MIGRAZIONE E SULLA INTEGRAZIONE DELLE TECNOLOGIE,460,IT
MAGYAR SZABVANYUGYI TESTULET,461,HU
FIPRA INTERNATIONAL SRL,462,BE
RESILIENCE ADVISORS (EUROPE) LIMITED,466,IE
EIT URBAN MOBILITY INNOVATION HUB SOUTH SL,467,ES
Galway Cultural Developmnet and Activity Company TA Galway 2020,468,IE
RUSENSKA TARGOVSKO INDUSTRIALNA KAMARA,469,BG
MEDIA DEALS UG (HAFTUNGSBESCHRÄNKT),471,DE
COMHOIBRIU COMPANY LIMITED BYGUARANTEE,472,IE
MANUFACTURING SASU,475,FR
KIC IE AB,476,SE
FOND ROZVYTKU INNOVACIJ - INNOVATION DEVELOPMENT FUND,477,UA
STICHTING SUSTAINABLE SCALE UP FOUNDATION,478,NL
Kyiv Academic University,479,UA
PROVINCIE UTRECHT,480,NL
UNIFY ENERGY B.V.,481,NL
NUTROPY,483,FR
SAFEHEAR,485,FR
TEKUKREYN,488,UA
CREATIVE CLUSTER,491,FR
NANOMED DIAGNOSTIC BIYOTEKNOLOJI ARGE LIMITED SIRKETI,492,TR
ENZYBIOTX SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,493,PL
NANORDICA MEDICAL OU,494,EE
MICROBIC SP ZOO,495,PL
BIOINNOVATION INSTITUTE FONDEN,497,DK
ASSOCIACAO PATIENT INNOVATION,499,PT
BRON INNOVATION AB,500,SE
HERE PARTNERS LDA,502,PT
FUNDACION SOCIALNEST,504,ES
PREFORMA AS,505,NO
VIGNITA AS,506,NO
SENSAI TEKNOLOJI ANONIM SIRKETI,507,TR
KAASS DISCOVERY AS,508,NO
KONREE INNOVATION LIMITED,509,IE
KOA BIOTECH SL,513,ES
NITROGEN SENSING SOLUTIONS UNIPESSOAL LDA,514,PT
KEYBOTIC SL,515,ES
EIT HEALTH HUB FRANCE,517,FR
KIDS SPEECH LABS LIMITED,518,IE
GOLEXIC GMBH,519,DE
ETTEVOTLUSE JA INNOVATSIOONI SIHTASUTUS,520,EE
"MINISTERSTVO SKOLSTVI, MLADEZE A TELOVYCHOVY",521,CZ
MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,523,IT
KOREA INSTITUTE FOR ADVANCEMENT OF TECHNOLOGY,525,KR
SCHWEIZERISCHE AGENTUR FUR INNOVATIONSFORDERUNG,530,CH
Enterprise Singapore,533,SG
NATIONAL TECHNOLOGICAL INNOVATION AUTHORITY,534,IL
INNOVAATIORAHOITUSKESKUS BUSINESS FINLAND,537,FI
ENTERPRISE IRELAND,540,IE
"ANI - AGENCIA NACIONAL DE INOVACAO, SA",542,PT
MINISTERIE VAN ECONOMISCHE ZAKEN,543,NL
INNOVIRIS,545,BE
MINISTERE DE L'ECONOMIE,546,LU
BULGARIAN SMALL AND MEDIUM ENTERPRISES PROMOTION AGENCY,549,BG
NATIONAL  RESEARCH COUNCIL CANADA,551,CA
EUREKA NETWORK,552,BE
"MINISTRSTVO ZA GOSPODARSTVO, TURIZEM IN SPORT",553,SI
MINISTERSTVO SKOLSTVA VYSKUMU VYVOJA A MLADEZE SR,555,SK
"MINISTRSTVO ZA VISOKO SOLSTVO, ZNANOST IN INOVACIJE",556,SI
MALTA ENTERPRISE,557,MT
MUNIQUE TECHNOLOGY GMBH,561,DE
MEETOPTICS LABS S.L.,562,ES
NEPTUNA VENTURES BV,563,NL
NBTECH AB,564,SE
SINBIOSYS SRL,565,IT
INOBIOSTAR,572,LT
MR SHIM GMBH,573,DE
LETZMATH SARL,574,LU
ATMOSR,575,FR
SAFEPAS OU,576,EE
ENVUE TECHNOLOGIES AB,577,SE
RAPIDEMIC B.V.,578,NL
SAIZ GMBH,579,DE
NORWEGIAN MYCELIUM AS,580,NO
YUMAN I/S,581,DK
GOLDMARIE FINANZEN GMBH,582,DE
TELEATHERAPY LIMITED,583,IE
NEUROSALIENCE OU,584,EE
SENSORITA AS,585,NO
SENDANCE GMBH,586,AT
NOCTURNE GMBH,587,DE
ELLPHA,588,FR
CLEARBOX AI SOLUTIONS SRL,589,IT
ACCU:RATE GMBH,590,DE
SIRIUS X-RAY SOLUTIONS GMBH,591,DE
SOCIALMIND LTD,592,IL
KNOWING01 GMBH,593,DE
EXOTICTARGET - LDA,594,PT
IDENTIFYHER LTD,595,IE
LUDWIG SRLS,596,IT
BOUNSEL SL,597,ES
RISING UP,598,FR
AERIAL TOOLS APS,599,DK
ROBOTWIN SRO,600,CZ
SAGEWRITE EHF.,601,IS
NEBUMIND GMBH,602,DE
KADIE INZHINERING OOD,603,BG
APHELIOR,604,FR
SIEMENS INDUSTRY SOFTWARE SRL,606,IT
INNOVX BUSINESS ACCELERATOR SRL,607,RO
ARNEPLANT S.L.,609,ES
STAHL HOLDINGS BV,610,NL
AGUROTECH B.V.,613,NL
INNOENERGY USA LLC,614,US
THE INSTITUTE OF SUSTAINABLE ENERGYSTICHTING,615,NL
KIC INNOENERGY IBERIA SL,616,ES
INNOENERGY GMBH,617,DE
FUNDACION PUBLICA GALEGA DE INVESTIGACION BIOMEDICA INIBIC,619,ES
SEVERIANO SERVICIO MOVIL SA,620,ES
PAIDAGOGIKO INSTITOUTO KYPROU,625,CY
INSTITUTO SUPERIOR DE ENGENHARIA DE LISBOA,630,PT
A4F - ALGAE FOR FUTURE SA,631,PT
PADAGOGISCHE HOCHSCHULE FREIBURG,632,DE
Instituto de Educação da Universidade de Lisboa,633,PT
MAYA-GEN EGITIM YAYINCILIK BILG.INS.GIDA TUR.TIC LTD. STI. (INCEK LISESI SUBESI),635,TR
SCHULERFORSCHUNGSZENTRUM SUDWURTTEMBERG EV,636,DE
INDUSTRIE- UND HANDELSKAMMER SUDLICHER OBERRHEIN,637,DE
Agrupamento de Escolas D. António de Ataíde,638,PT
S.S. BilimKoop Bilimsel Arastirma ve Gelistirme Kooperatifi,639,TR
Volkshochschule Freiburg e. V.,640,DE
Montessori Zentrum ANGELL Freiburg GmbH,641,DE
Grad Samobor,642,HR
Agrostac Trading Limited,644,CY
STEMI d.o.o. za informaticku djelatnost,645,HR
ONCE OGRETMEN VAKFI,647,TR
XV. gimnazija,648,HR
HRVATSKO MATEMATICKO DRUSTVO,649,HR
CARDIOID TECHNOLOGIES LDA,650,PT
Dijital Yapay Zeka Yazilim San. Tic. Ltd. Sti.,651,TR
FYCH TECHNOLOGIES SL,652,ES
SAFERGLOBE RY,670,FI
EVALU SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,673,PL
DEUTSCH-EUROPAISCHES FORUM FUR URBANE SICHERHEIT EV,674,DE
SMART CONTINENT LT UAB,675,LT
SHINE 2EUROPE LDA,676,PT
EUROPEAN INTEGRATED PROJECT,677,RO
ASOCIACION CLUSTER SAUDE DE GALICIA,684,ES
EURASANTE,685,FR
PANNON GAZDASAGI HALOZAT EGYESULET,687,HU
ETABLISSEMENT PUBLIC DU MUSEE DU LOUVRE,689,FR
ODYSSEA AMKE,691,EL
Trelleborg AB (publ),692,SE
SCHOOLS FOR HEALTH IN EUROPE NETWORK FOUNDATION,693,DK
FEDERATION EUROPEENNE DES EMPLOYEURS D'EDUCATION AISBL,694,BE
CREDA ONLUS CENTRO RICERCA EDUCAZIONE DOCUMENTAZIONE AMBIENTALE,695,IT
STICHTING WOMEN ENGAGE FOR ACOMMON FUTURE - INTERNATIONAL,696,NL
Primaria Municipiului Campina,697,RO
PAEDAGOGISCHE HOCHSCHULE WEINGARTEN,698,DE
VELVET DP OU,699,EE
Bergen Vitensenter AS,702,NO
HAWKINS BROWN IRELAND LIMITED,703,IE
ASOCIATIA GEYC,705,RO
MANTIS BUSINESS INNOVATION IDIOTIKIKEFALAIOUCHIKI ETAREIA,707,EL
SUSTAINABILITY INNOCENTER EKONOMISKFORENING,708,SE
PANELLINIOS SYNDESMOS EPICHEIRISEON PROSTASIAS PERIVALLONTOS PASEPPE,709,EL
ACADEMIA EUROPAEA EV,710,DE
CONSEIL EUROPEEN DES APPLICATIONS DE LA SCIENCE ET DE L'INGENIERIE (EURO-CASE),712,FR
FEDERATION EUROPEENNE DES ACADEMIESDE MEDECINE,713,BE
ALL EUROPEAN ACADEMIES (ALLEA) e.V.,714,DE
FOERDERVEREIN YOUNG ACADEMY OF EUROPE E.V.,717,DE
ISTITUTO DI SOCIOLOGIA INTERNAZIONALE DI GORIZIA,718,IT
SQUAREDEV,724,BE
THALES DIS CZECH REPUBLIC SRO,725,CZ
RAPISCAN SYSTEMS LIMITED,729,UK
ASOCIACIJA LITHUANIABIO,732,LT
SYNBIO POWERLABS OY,733,FI
BIOCATALYST NODIBINAJUMS,736,LV
TEHNOLOSKI PARK LJUBLJANA DOO,737,SI
HIVETRACKS INC,746,US
Global Biodiversity Information Facility,747,DK
AUSCOPE LIMITED,748,AU
NSD - NORSK SENTER FOR FORSKNINGSDATA AS,750,NO
KENYA AGRICULTURAL AND LIVESTOCK RESEARCH ORGANISATION,751,KE
INTERNATIONAL UNION OF PURE AND APPLIED CHEMISTRY,755,US
AGENTSCHAP PLANTENTUIN MEISE,756,BE
RESEARCH DATA ALLIANCE ASSOCIATION,757,BE
DREXEL UNIVERSITY,758,US
ROYAL IRISH ACADEMY,760,IE
COMITE DES DONNEES SCIENTIFIQUES ETTECHNOLOGIQUES ASSOCIATION,761,FR
FUNDACAO DE APOIO A PESQUISA E AO DESENVOLVIMENTO,762,BR
TONKIN & TAYLOR INTERNATIONAL LIMITED,763,NZ
Citizen Science Global Partnership (CSGP) - Globale Partnerschaft fuer Buergerwissenschaften (GPBW),772,AT
OEAD GMBH - AGENTUR FUR BILDUNG UND INTERNATIONALISIERUNG,779,AT
VC4AFRICA BV,781,NL
AFRICAN CENTRE FOR TECHNOLOGY STUDIES,782,KE
TECHNOPOLIS BV,784,NL
The Youth Cafe Limited,786,KE
SOUTHERN AFRICAN RESEARCH AND INNOVATION MANAGEMENT ASSOCIATION,787,ZA
DIGITAL AFRICA,788,FR
TECHNOPOLIS DEUTSCHLAND GMBH,789,DE
TECHNOPOLIS AFRICA,790,CI
IQIB Institut fur qualizierende Innovationsforschung und-beratung GmbH,793,DE
AFRICAN TECHNOLOGY INNOVATION HUBS,794,NG
GEORGIAN STATE TEACHING UNIVERSITYOF PHYSICAL EDUCATION AND SPORT,812,GE
LIETUVOS SPORTO UNIVERSITETAS,814,LT
INSTITUTIA PUBLICA UNIVERSITATEA DE EDUCATIE FIZICA SI SPORT,815,MD
NATSIONALNA SPORTNA AKADEMIYA VASSIL LEVSKI,817,BG
AGENCE BRUXELLOISE POUR L'ENTREPRENEURIAT*BRUSSELS AGENTSCHAP VOOR HET ONDERNEMERSCHAP,824,BE
AGJENCIA KOMBETARE E KERKIMIT SHKENCOR DHE INOVACIONIT,826,AL
SDRUZHENIE KLASTER AEROKOSMICHESKI TEHNOLOGII IZSLEDVANIA I PRILOZHENIA CASTRA,827,BG
"MINISTRY FOR EDUCATION, SPORT, YOUTH, RESEARCH AND INNOVATION",828,MT
TECHNOLOGICKE CENTRUM PRAHA ZSPO,830,CZ
RETE INTERNAZIONALE PER LE PICCOLEE MEDIE IMPRESE,831,IT
WILDTRIUMPHS LDA,832,PT
GROW F GMBH,833,AT
JO CONSULTING SRL,834,IT
WILCO SERVICES,836,FR
EUROPEAN PLATFORM FOR SPORTS AND INNOVATION,865,BE
SLOVENSKO INOVACIJSKO STICISCEEVROPSKO GOSPODARSKO INTERESNOZDRUZENJE,866,SI
EUROPEAN NETWORK FOR ACCESSIBLE TOURISM ASBL,867,BE
INSTITUTE FOR INFORMATICS AND AUTOMATION PROBLEMS OF THE NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF ARMENIA,895,AM
AGENTIA SPATIALA ROMANA,896,RO
DEUTSCHES ZENTRUM FUR LUFT - UND RAUMFAHRT EV,896,DE
DAWN AEROSPACE NEDERLAND B.V.,896,NL
SKYLABS VESOLJSKE TEHNOLOGIJE DOO,896,SI
BERLIN SPACE TECHNOLOGIES GMBH,896,DE
ELECNOR INFRASTRUTTURE E AEROSPAZIA SRL,896,IT
ARIANESPACE SAS,896,FR
INFINITE ORBITS,896,FR
FUNDACIO ENIDE PER A LA RECERCA I L'ECONOMIA DEL CONEIXEMENT,896,ES
AEROSPAZIO TECNOLOGIE SRL,896,IT
PRACTIN IKE,896,EL
FORUMUL AGRICULTORILOR SI PROCESATORILOR PROFESIONISTI DIN ROMANIA,896,RO
EPSILON MALTA LIMITED,896,MT
"SATELIO IOT SERVICES, SL",896,ES
INDUSTRIAS NAVARRAS DEL PLASTICO REFORZADO SL,896,ES
A-PLAS GENEL OTOMOTIV MAMULLERI SANAYI VE TICARET ANONIM SIRKETI,896,TR
HIGH PERFORMANCE COMPOSITES SRL,896,IT
MSQUARE GMBH,896,DE
TRUSTEES OF PURDUE UNIVERSITY,896,US
MSC SOFTWARE BELGIUM,896,BE
NETWORK RAIL INFRASTRUCTURE LIMITED,896,UK
INSTITUTO  IBERMATICA  DE  INNOVACION  SL,896,ES
MCI MANAGEMENT CENTER INNSBRUCK INTERNATIONALE HOCHSCHULE GMBH,896,AT
SNAM S.P.A.,896,IT
MARE ENGINEERING GROUP SPA,896,IT
UNIVERSITY OF LEEDS,896,UK
"COLLINS AEROSPACE IRELAND, LIMITED",896,IE
SME4SPACE VZW,896,BE
University of Cincinnati,896,US
AIRBUS HELICOPTERS,896,FR
INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,896,BR
LEAD TECH SRL,896,IT
IVECO SPA,896,IT
VILLINGER GMBH,896,AT
CASER RESIDENCIAL SA,896,ES
INTELLIGENT VOICE LIMITED,896,UK
SMARTED SRL,896,IT
APPLICATIONS TECHNOLOGY - APPTEK GMBH,896,DE
PNEUMA HEALTHCARE LIMITED,896,UK
RIMAC TECHNOLOGY DOO,896,HR
GARRETT MOTION CZECH REPUBLIC SRO,896,CZ
TU WIEN AUTOMOTIVE TEST CENTER GMBH,896,AT
L - UP SAS,896,FR
POLITECHNIKA RZESZOWSKA IM IGNACEGO  LUKASIEWICZA PRZ,896,PL
STUDIEVALG DANMARK,896,DK
THE EXPLORATION COMPANY GMBH,896,DE
UNIVERZITA PARDUBICE,896,CZ
CENTRO DE ESTUDIOS Y EXPERIMENTACION DE OBRAS PUBLICAS,896,ES
BUREAU VERITAS ITALIA SPA,896,IT
RETE FERROVIARIA ITALIANA,896,IT
CONSORZIO UNIVERSITA INDUSTRIA - LABORATORI DI RADIOCOMUNICAZION I,896,IT
