organization_name,pagerank_score,degree_centrality_score,betweenness_score,country
EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH,16.948362809067834,966.0,1099861.4452814658,CH
"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT",16.780052927495174,1045.0,1080832.2368077752,FR
FORSCHUNGSZENTRUM JULICH GMBH,16.689103264162856,1152.0,532101.767166673,DE
STICHTING WAGENINGEN RESEARCH,16.625368232937944,990.0,1188267.8231303864,NL
ARISTOTELIO PANEPISTIMIO THESSALONIKIS,16.500998467585546,962.0,1744792.5666634478,EL
LUNDS UNIVERSITET,16.417009002670742,937.0,1169160.8909310198,SE
TAMPEREEN KORKEAKOULUSAATIO SR,16.41391185457653,907.0,1405068.7252532588,FI
UNIVERZA V LJUBLJANI,16.13608299552784,961.0,1181689.412349751,SI
INSTITUT JOZEF STEFAN,15.796910097268212,1042.0,1065639.7137390925,SI
SINTEF AS,15.139933417730743,734.0,1334821.300775077,NO
WAGENINGEN UNIVERSITY,14.84132301264997,829.0,1178297.1435437978,NL
RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN,14.759555695963245,827.0,1069620.4983743054,DE
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,14.31615555519825,896.0,634351.5370573842,FR
UNIVERSITA DEGLI STUDI DI PADOVA,13.989631211795645,774.0,1081172.7082893893,IT
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,13.987403480760436,866.0,970149.0880472395,IT
TECHNISCHE UNIVERSITEIT EINDHOVEN,13.975883466153457,777.0,821218.1928241032,NL
IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE,13.62814075565699,793.0,866567.2467593038,UK
ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON,13.609329137254166,847.0,1050327.2652523152,EL
UNIVERSITEIT TWENTE,13.586200747990203,758.0,1581980.669035893,NL
UNIVERSITEIT UTRECHT,13.577167387254468,783.0,861797.3511942851,NL
UNIVERSITA DEGLI STUDI DI TORINO,13.538582350216052,847.0,983357.5161720997,IT
AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH,13.423362163880416,780.0,1260161.744513909,AT
UPPSALA UNIVERSITET,13.245420136114221,822.0,806323.504782259,SE
"UNIVERSITY COLLEGE CORK -  NATIONAL UNIVERSITY OF IRELAND, CORK",12.927469596199423,708.0,1158044.466303592,IE
"UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN",12.867121150205746,801.0,839245.588393457,IE
UNIVERSITEIT ANTWERPEN,12.716849180713297,770.0,971449.6459169235,BE
INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,12.715795266684932,729.0,707033.9206581665,BE
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,12.680839134099768,773.0,598940.8263755108,CH
STICHTING AMSTERDAM UMC,12.514593641172365,749.0,735045.7052160861,NL
CHALMERS TEKNISKA HOGSKOLA AB,12.374378230640609,720.0,770208.4837048476,SE
VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK N.V.,12.369286675833903,657.0,1222703.1242043218,BE
UNIVERSITAT AUTONOMA DE BARCELONA,12.297785620515597,760.0,872633.4544596531,ES
UNIVERSITE DE LIEGE,12.182459912199617,748.0,787156.5134195004,BE
TECHNISCHE UNIVERSITAET DRESDEN,12.120884199838315,660.0,1191760.4848888847,DE
"AGENZIA NAZIONALE PER LE NUOVE TECNOLOGIE, L'ENERGIA E LO SVILUPPO ECONOMICO SOSTENIBILE",12.037510694056644,773.0,434065.0225571956,IT
TURKIYE BILIMSEL VE TEKNOLOJIK ARASTIRMA KURUMU,11.8689151726208,831.0,576684.4939860568,TR
UNIVERSIDADE DE COIMBRA,11.828752718194373,743.0,713604.2349316772,PT
RISE RESEARCH INSTITUTES OF SWEDEN AB,11.766525327345466,635.0,1095144.301919203,SE
UNIVERSITEIT MAASTRICHT,11.611925623998307,688.0,918964.4567185219,NL
UNIVERSITA DEGLI STUDI DI FIRENZE,11.54191324927694,614.0,1233398.769492876,IT
UNIVERSITY COLLEGE LONDON,11.512013401284127,706.0,743986.7386028286,UK
SORBONNE UNIVERSITE,11.386164247771202,742.0,462460.7060894821,FR
FUNDACION CIRCE CENTRO DE INVESTIGACION DE RECURSOS Y CONSUMOS ENERGETICOS,11.357802623994532,634.0,614622.0649030907,ES
OULUN YLIOPISTO,11.26798896092119,613.0,751561.6540826878,FI
ITA-SUOMEN YLIOPISTO,11.154123031959426,709.0,742761.4787965007,FI
TARTU ULIKOOL,11.119809579814593,724.0,588672.5764339485,EE
RIJKSUNIVERSITEIT GRONINGEN,11.11612599599248,586.0,952963.8160184813,NL
FUNDACIO EURECAT,11.019909474653142,617.0,813677.4243860266,ES
UNIVERSITE D'AIX MARSEILLE,10.958360912576707,697.0,588312.5703968,FR
IDRYMA TECHNOLOGIAS KAI EREVNAS,10.911608854702463,605.0,874016.6962388171,EL
VRIJE UNIVERSITEIT BRUSSEL,10.675579732321147,549.0,938588.7567447806,BE
"""NATIONAL CENTER FOR SCIENTIFIC RESEARCH """"DEMOKRITOS""""""",10.540599958818085,640.0,603590.2979121056,EL
BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION,10.493117546217215,650.0,587638.9139832298,ES
UNIVERSITAT DE BARCELONA,10.478428649266046,590.0,796007.5553530094,ES
UNIVERSITAET FUER BODENKULTUR WIEN,10.403622642186606,604.0,837388.9601589933,AT
UNIVERSITA DI PISA,10.318539507985037,630.0,512135.70677994424,IT
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,10.256809089649137,580.0,713037.4351776986,IT
CHARITE - UNIVERSITAETSMEDIZIN BERLIN,10.230336018902593,674.0,400457.4067844562,DE
ERASMUS UNIVERSITAIR MEDISCH CENTRUM ROTTERDAM,10.211074825271083,643.0,635340.5213290732,NL
LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,10.121796263340672,634.0,521848.2876493067,DE
UNIVERSITE DE BORDEAUX,10.110461433027814,593.0,421107.40267372254,FR
MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,10.088917555299885,558.0,584288.9125766609,DE
UNIVERSITAT WIEN,10.069055084402452,555.0,626303.0948334977,AT
SVERIGES LANTBRUKSUNIVERSITET,10.05416482373204,618.0,459901.16477725963,SE
AALBORG UNIVERSITET,9.98547946616083,492.0,1076841.7426993179,DK
RINA CONSULTING SPA,9.923047226741362,490.0,702617.1396069946,IT
GEOPONIKO PANEPISTIMION ATHINON,9.898788484345932,525.0,717300.3485592023,EL
EIGEN VERMOGEN VAN HET INSTITUUT VOOR LANDBOUW- EN VISSERIJONDERZOEK,9.602015866667296,567.0,499676.80633872835,BE
THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE,9.544809467566944,618.0,415025.2701503257,UK
TECHNISCHE UNIVERSITAT BERLIN,9.525468703672054,523.0,803902.4285779932,DE
"ATHINA-EREVNITIKO KENTRO KAINOTOMIAS STIS TECHNOLOGIES TIS PLIROFORIAS, TON EPIKOINONION KAI TIS GNOSIS",9.447412488476477,556.0,509601.6415637219,EL
UNIVERSITETET I OSLO,9.429375045851627,513.0,611329.867064073,NO
THE UNIVERSITY OF MANCHESTER,9.342235603711433,598.0,302102.3824496294,UK
UNIVERSITAT POLITECNICA DE VALENCIA,9.183780143749596,503.0,642169.8251029003,ES
STICHTING VU,9.058108099708654,520.0,706091.7261580334,NL
KAROLINSKA INSTITUTET,9.022025581945968,508.0,579086.3636386574,SE
TECHNISCHE UNIVERSITAET WIEN,9.001897543302714,456.0,744607.3227864879,AT
THE UNIVERSITY OF BIRMINGHAM,8.804688682721782,475.0,685374.0050342324,UK
UNIVERSITY OF CYPRUS,8.77430532636062,498.0,590308.2664064941,CY
AALTO KORKEAKOULUSAATIO SR,8.690168806564783,449.0,557475.875694448,FI
UNIVERSITA CATTOLICA DEL SACRO CUORE,8.670958981752426,530.0,692430.495201373,IT
UNIVERSIDAD DE GRANADA,8.651507803685874,517.0,523517.531916716,ES
"INESC TEC - INSTITUTO DE ENGENHARIADE SISTEMAS E COMPUTADORES, TECNOLOGIA E CIENCIA",8.510683930336043,476.0,605492.798688728,PT
HELMHOLTZ-ZENTRUM DRESDEN-ROSSENDORF EV,8.443297502801748,557.0,173734.88495646953,DE
CENTRO DE INVESTIGACIONES ENERGETICAS MEDIOAMBIENTALES Y TECNOLOGICAS,8.403723584641602,539.0,242414.9114305828,ES
GOETEBORGS UNIVERSITET,8.402625326054325,496.0,431662.533788363,SE
UNIVERSIDADE NOVA DE LISBOA,8.343084792711627,400.0,906146.4648221435,PT
UNIVERSITEIT VAN AMSTERDAM,8.327946567265094,460.0,452356.13659483567,NL
PAUL SCHERRER INSTITUT,8.253602880912132,561.0,134259.8604732417,CH
UNITED KINGDOM RESEARCH AND INNOVATION,8.146607504975611,538.0,225552.56419217555,UK
UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA,8.134508754710282,459.0,508056.56514935545,ES
STICHTING RADBOUD UNIVERSITEIT,8.119455349327016,464.0,488551.09202674055,NL
NETCOMPANY-INTRASOFT SA,7.995685735181995,417.0,445418.7461847476,LU
"THE PROVOST, FELLOWS, FOUNDATION SCHOLARS & THE OTHER MEMBERS OF BOARD, OF THE COLLEGE OF THE HOLY & UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN",7.929107143037564,417.0,703077.6727415483,IE
JRC -JOINT RESEARCH CENTRE- EUROPEAN COMMISSION,7.807913051525623,489.0,282572.703666487,IT
UNIVERSIDAD DE SEVILLA,7.775098810466803,462.0,429554.6465850279,ES
EIDGENOSSISCHE MATERIALPRUFUNGS- UND FORSCHUNGSANSTALT,7.71582201631601,455.0,336078.2601969561,CH
UNIVERSIDADE DO PORTO,7.626616079201678,428.0,601645.3781260962,PT
TURUN YLIOPISTO,7.589411258107581,479.0,332728.4199960519,FI
UNIVERSITA DEGLI STUDI DI GENOVA,7.554562006474696,396.0,538071.6539257077,IT
UNIVERSITE GRENOBLE ALPES,7.501258960918358,443.0,421394.80786146154,FR
UNIVERZITA KARLOVA,7.426493028488584,453.0,426838.24865156313,CZ
REGION HOVEDSTADEN,7.361830600964228,492.0,249008.27313012772,DK
UNIVERSITAET BERN,7.346368526287073,452.0,288371.33589164226,CH
AVL LIST GMBH,7.314965890310752,433.0,243098.01223237085,AT
UNIVERSITA DEGLI STUDI DI MILANO,7.307802578333588,438.0,332427.35998984193,IT
FONDAZIONE CENTRO EURO-MEDITERRANEOSUI CAMBIAMENTI CLIMATICI,7.306617060573397,420.0,359001.38934209774,IT
LUXEMBOURG INSTITUTE OF SCIENCE AND TECHNOLOGY,7.259624408230498,355.0,512138.5875545641,LU
THE CYPRUS INSTITUTE,7.2592668886634275,424.0,418141.53242897685,CY
LUONNONVARAKESKUS,7.20429014930476,481.0,232717.33592160683,FI
UNIVERSITETET I BERGEN,7.192856208857177,436.0,253966.40761536718,NO
HELMHOLTZ-ZENTRUM FUR UMWELTFORSCHUNG GMBH - UFZ,7.163855315948956,461.0,278476.65260515135,DE
IDENER RESEARCH & DEVELOPMENT AGRUPACION DE INTERES ECONOMICO,7.117506048014464,324.0,521156.9737297539,ES
UNIVERSITY OF WARWICK,7.10546070568884,363.0,681835.3473135306,UK
ETHNIKO ASTEROSKOPEIO ATHINON,7.059209196670493,425.0,249929.75353706058,EL
STICHTING RADBOUD UNIVERSITAIR MEDISCH CENTRUM,7.027951308162848,447.0,313038.0529428297,NL
ELECTRICITE DE FRANCE,7.008306742815105,439.0,293779.71537694085,FR
IST-ID ASSOCIACAO DO INSTITUTO SUPERIOR TECNICO PARA A INVESTIGACAO E O DESENVOLVIMENTO,6.9709509074100735,406.0,580185.337389647,PT
"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",6.956348459500742,372.0,400011.6355752853,UK
CESKE VYSOKE UCENI TECHNICKE V PRAZE,6.944395908074421,412.0,427188.7919505806,CZ
Masarykova univerzita,6.923252504014532,398.0,391614.0583587859,CZ
ILMATIETEEN LAITOS,6.917468686929453,447.0,164830.1891390549,FI
CONSIGLIO PER LA RICERCA IN AGRICOLTURA E L'ANALISI DELL'ECONOMIA AGRARIA,6.912600198850596,482.0,122563.04272396918,IT
STICHTING DELTARES,6.869556896035273,383.0,391051.7949147025,NL
UNIVERSITY OF GALWAY,6.851045202103012,349.0,503961.6181071513,IE
FUNDACIO HOSPITAL UNIVERSITARI VALL D'HEBRON - INSTITUT DE RECERCA,6.817923667190656,471.0,260193.79534184415,ES
UNIWERSYTET WARSZAWSKI,6.766446713792483,383.0,468851.7577990319,PL
UNIVERSITE CATHOLIQUE DE LOUVAIN,6.751875454566571,369.0,432861.69924180943,BE
F6S NETWORK IRELAND LIMITED,6.731068161354371,337.0,592035.9657151556,IE
ACONDICIONAMIENTO TARRASENSE ASSOCIACION,6.723249867539868,334.0,641025.3389759414,ES
INSTITUT MINES-TELECOM,6.706651562015395,406.0,313695.0587301702,FR
FUNDACAO PARA A CIENCIA E A TECNOLOGIA,6.669348583379707,530.0,98798.45761227074,PT
GFZ HELMHOLTZ-ZENTRUM FUR GEOFORSCHUNG,6.667989606656458,417.0,311631.0507315048,DE
AGES - OSTERREICHISCHE AGENTUR FUR GESUNDHEIT UND ERNAHRUNGSSICHERHEIT GMBH,6.663222008985222,496.0,193203.82934525155,AT
UNIVERSITE DE LORRAINE,6.591783310313473,402.0,334526.6456775883,FR
ALBERT-LUDWIGS-UNIVERSITAET FREIBURG,6.493282997882281,375.0,419623.69309307286,DE
UNIVERSIDAD DE VIGO,6.441905144420854,381.0,425099.8727290068,ES
GOTTFRIED WILHELM LEIBNIZ UNIVERSITAET HANNOVER,6.39555090606935,373.0,431645.22977572365,DE
UNIVERSITAT DE VALENCIA,6.388359107346567,345.0,449286.08641210117,ES
TEAGASC - AGRICULTURE AND FOOD DEVELOPMENT AUTHORITY,6.387979894112316,419.0,225091.85100956075,IE
PANEPISTIMIO PATRON,6.360613077771375,331.0,321032.9953560417,EL
SCIENSANO,6.3073787791261395,459.0,157966.1058236591,BE
BUDAPESTI MUSZAKI ES GAZDASAGTUDOMANYI EGYETEM,6.290059606942985,360.0,347884.2959248041,HU
HELLENIC CENTRE FOR MARINE RESEARCH,6.288811564584798,383.0,209962.32798972845,EL
UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,6.288573396678919,345.0,328447.71383822046,ES
UNIVERSITY OF NEWCASTLE UPON TYNE,6.279731458441572,422.0,371278.9845577304,UK
THE QUEEN'S UNIVERSITY OF BELFAST,6.265839509474291,394.0,423270.94758394413,UK
UNIVERSITEIT LEIDEN,6.24607379525645,338.0,316768.5929724506,NL
ASOCIACION DE INVESTIGACION METALURGICA DEL NOROESTE,6.23063483968816,315.0,573712.1420642551,ES
SLOVENSKA TECHNICKA UNIVERZITA V BRATISLAVE,6.183480663520948,402.0,152776.98740690606,SK
EBERHARD KARLS UNIVERSITAET TUEBINGEN,6.110593165683289,403.0,188024.86184020556,DE
FORSCHUNGSINSTITUT FUR BIOLOGISCHEN LANDBAU STIFTUNG,6.083636183566096,350.0,310291.1254356853,CH
UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,6.07508014469509,340.0,315615.8467063442,IT
ELLINIKOS GEORGIKOS ORGANISMOS - DIMITRA,6.074564037629339,361.0,350000.5812353877,EL
BUREAU DE RECHERCHES GEOLOGIQUES ET MINIERES,6.037277395721314,365.0,324951.6900019359,FR
DUBLIN CITY UNIVERSITY,6.0338469774881025,285.0,537702.8805560841,IE
ROBERT BOSCH GMBH,6.004590279917363,338.0,212484.91348076685,DE
STOCKHOLMS UNIVERSITET,5.9972275485639885,342.0,232626.11712447647,SE
TALLINNA TEHNIKAÜLIKOOL,5.981453579400068,311.0,400567.15530600434,EE
SYDDANSK UNIVERSITET,5.969948427028092,315.0,518688.79477592336,DK
UNIVERSITA DEGLI STUDI DI TRENTO,5.9548049600552835,321.0,412085.22036720434,IT
SINTEF ENERGI AS,5.938193054295868,312.0,311863.2260405143,NO
FRIEDRICH-ALEXANDER-UNIVERSITAET ERLANGEN-NUERNBERG,5.934976783907482,339.0,250996.98235897883,DE
TECHNISCHE UNIVERSITAET BRAUNSCHWEIG,5.929514487119255,328.0,274045.95288724906,DE
FONDAZIONE ICONS,5.919511760768085,279.0,518776.0993123809,IT
TECHNISCHE UNIVERSITAT DARMSTADT,5.905878786696959,300.0,353683.540407441,DE
ACADEMISCH ZIEKENHUIS GRONINGEN,5.894562100822645,378.0,292040.3877518913,NL
CSEM CENTRE SUISSE D'ELECTRONIQUE ET DE MICROTECHNIQUE SA - RECHERCHE ET DEVELOPPEMENT,5.871932403834507,323.0,228321.34642655042,CH
ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,5.861402879601383,426.0,107959.73700502241,FR
UNIWERSYTET JAGIELLONSKI,5.858594557904724,303.0,400394.69935767545,PL
JYVASKYLAN YLIOPISTO,5.847569849310119,349.0,467601.44578872476,FI
PANEPISTIMIO KRITIS,5.800413733325791,406.0,142661.02950119387,EL
UNIVERSITEIT HASSELT,5.777550735849412,386.0,253519.24349248034,BE
ENGINEERING - INGEGNERIA INFORMATICA SPA,5.757019618393972,342.0,168599.6300692502,IT
ICLEI EUROPEAN SECRETARIAT GMBH (ICLEI EUROPASEKRETARIAT GMBH),5.707153987278005,304.0,339606.77337887645,DE
FONDAZIONE BRUNO KESSLER,5.700368571052748,295.0,352704.72548128123,IT
LAPPEENRANNAN-LAHDEN TEKNILLINEN YLIOPISTO LUT,5.699382753158485,290.0,433150.0304341092,FI
STICHTING NEDERLANDSE WETENSCHAPPELIJK ONDERZOEK INSTITUTEN,5.68174908825734,350.0,168525.48433450097,NL
UNIVERSITY OF LEEDS,5.68026079129441,308.0,325225.47071763716,UK
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,5.637604627653047,306.0,327124.92052756686,IT
UNIVERSITY OF STRATHCLYDE,5.627882922084752,334.0,386615.09101787244,UK
JOHANN WOLFGANG GOETHE-UNIVERSITAET FRANKFURT AM MAIN,5.621853653268954,376.0,274588.1242532495,DE
ASTRAZENECA AB,5.573576795823076,386.0,209207.74149591633,SE
VIRTUAL VEHICLE RESEARCH GMBH,5.543091791166568,328.0,174979.88142731594,AT
INFINEON TECHNOLOGIES AG,5.531391873323873,351.0,108283.42005692582,DE
LULEA TEKNISKA UNIVERSITET,5.521623002044758,275.0,340442.6440622142,SE
POLYTECHNEIO KRITIS,5.5152736734161465,294.0,356013.6148335434,EL
UNIVERSIDAD AUTONOMA DE MADRID,5.468104321314182,338.0,206850.6351402691,ES
AGENCE NATIONALE DE LA RECHERCHE,5.461602169205031,450.0,43468.52756279637,FR
UNIVERSITE DE GENEVE,5.4109075339631945,290.0,303720.8471935389,CH
NUCLEAR RESEARCH AND CONSULTANCY GROUP,5.406349236684355,377.0,42413.33277680043,NL
UNIVERSIDAD DE CASTILLA - LA MANCHA,5.39105725505741,359.0,192667.85118025338,ES
E-SCIENCE EUROPEAN INFRASTRUCTURE FOR BIODIVERSITY AND ECOSYSTEM RESEARCH,5.386026337407912,372.0,121600.31619401106,ES
UNIVERSITA DEGLI STUDI DI PARMA,5.340741841664582,319.0,294831.6742590605,IT
UNIVERSITE PARIS-SACLAY,5.338808648104594,306.0,196492.10463870715,FR
UNIVERSITA DEGLI STUDI DI SIENA,5.329151112830156,361.0,134512.52012395184,IT
FUNDACION CARTIF,5.32412912756406,273.0,272116.9958398906,ES
UNIVERSITE DE MONTPELLIER,5.316336581980543,328.0,210662.21034420203,FR
VLAAMSE GEWEST,5.3105022438669,363.0,223786.1674522419,BE
CENTRO RICERCHE FIAT SCPA,5.305211878347041,276.0,206403.95546004773,IT
ELLINIKO MESOGEIAKO PANEPISTIMIO,5.294242578154551,299.0,201427.79279908276,EL
ISTITUTO NAZIONALE DI FISICA NUCLEARE,5.263979448691609,337.0,114941.20640811996,IT
INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET AUTOMATIQUE,5.244758892803482,329.0,132679.59205901067,FR
VIB VZW,5.243864941188985,377.0,106556.705899245,BE
UNIVERSITE DE LILLE,5.238300339543775,326.0,211288.97897285764,FR
UNIVERSITY OF LIMERICK,5.212525963942713,245.0,391552.55657716846,IE
INSTITUT FRANCAIS DE RECHERCHE POUR L'EXPLOITATION DE LA MER,5.210731523067725,317.0,110000.58089404924,FR
FUNDACION CENTRO DE TECNOLOGIAS DE INTERACCION VISUAL Y COMUNICACIONES VICOMTECH,5.208709893176614,277.0,269788.44653632323,ES
EUROPEAN MOLECULAR BIOLOGY LABORATORY,5.20141265166003,334.0,109256.22695712956,DE
UNIVERSITY OF STUTTGART,5.193237787386873,283.0,219132.04377685627,DE
STUDIECENTRUM VOOR KERNENERGIE / CENTRE D'ETUDE DE L'ENERGIE NUCLEAIRE,5.187316124511446,344.0,101896.54077001529,BE
MINISTERO DELL'UNIVERSITA E DELLA RICERCA,5.154483843103262,407.0,78798.25737464135,IT
KONINKLIJKE NEDERLANDSE AKADEMIE VAN WETENSCHAPPEN - KNAW,5.15129401503527,295.0,385243.4196997225,NL
INNOVATIONSFONDEN,5.126940919722731,429.0,20663.953183556427,DK
NORGES FORSKNINGSRAD,5.126940919722731,429.0,20663.953183556427,NO
Lietuvos mokslo taryba,5.126940919722731,429.0,20663.953183556427,LT
SIHTASUTUS EESTI TEADUSAGENTUUR,5.126940919722731,429.0,20663.953183556427,EE
LGI SUSTAINABLE INNOVATION,5.119651191082859,292.0,303782.77222763543,FR
TELEFONICA INNOVACION DIGITAL SL,5.1121438692994925,286.0,192880.98936334165,ES
ISTITUTO SUPERIORE DI SANITA,5.109370330937478,380.0,141120.6449505685,IT
NORCE NORWEGIAN RESEARCH CENTRE AS,5.089140591521079,285.0,210666.55155442306,NO
UNIVERSITAET GRAZ,5.076167829444386,271.0,288868.9143410603,AT
INSTITUTO NACIONAL DE INVESTIGAÇAO AGRARIA E VETERINARIA,5.063002369764945,360.0,75859.8572225766,PT
ZABALA INNOVATION CONSULTING SA,5.030009161681852,244.0,346994.6075718726,ES
INSTITUT POLYTECHNIQUE DE GRENOBLE,5.022299365856796,280.0,190588.12462270242,FR
UNIVERSITY OF LANCASTER,5.005971908453114,311.0,199406.58128187517,UK
MEDIZINISCHE UNIVERSITAET WIEN,5.002993758326906,284.0,274841.3498777607,AT
UNIVERSIDADE DE AVEIRO,4.965286231777218,256.0,323524.24152128876,PT
THE UNIVERSITY OF EDINBURGH,4.963305019534066,292.0,180066.49672516662,UK
RIJKSINSTITUUT VOOR VOLKSGEZONDHEID EN MILIEU,4.915702830035018,346.0,126310.46505836885,NL
UNIVERSIDAD COMPLUTENSE DE MADRID,4.893532802102277,254.0,278946.61344371975,ES
UMEA UNIVERSITET,4.88609297258165,273.0,215533.52014441168,SE
EXUS SOFTWARE MONOPROSOPI ETAIRIA PERIORISMENIS EVTHINIS,4.857643161123667,267.0,208915.12546690556,EL
RUPRECHT-KARLS-UNIVERSITAET HEIDELBERG,4.8504589732263055,284.0,195353.44193126453,DE
UNIVERSITETET I TROMSOE - NORGES ARKTISKE UNIVERSITET,4.834257326081305,280.0,196479.5180103292,NO
POLITECNICO DI BARI,4.805257058828517,267.0,202614.13625717102,IT
UNITATEA EXECUTIVA PENTRU FINANTAREA INVATAMANTULUI SUPERIOR A CERCETARII DEZVOLTARII SI INOVARII,4.7871007687242955,381.0,79133.67230016821,RO
UNIVERSITY OF BRISTOL,4.781449973287834,298.0,169558.45423526535,UK
JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH,4.770819965908714,209.0,308410.9030417864,AT
UNIVERSITE LIBRE DE BRUXELLES,4.7669497448678975,258.0,254517.9710662316,BE
SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA,4.754827094228135,247.0,315719.0164814719,IT
STEINBEIS INNOVATION GGMBH,4.752495853100328,234.0,310822.91676821327,DE
"EIDGENOESSISCHES DEPARTEMENT FUER WIRTSCHAFT, BILDUNG UND FORSCHUNG",4.746837482041246,320.0,60453.75658593806,CH
INSTITUT DE RADIOPROTECTION ET DE SURETE NUCLEAIRE,4.746526653780719,335.0,21477.77885672005,FR
UNIVERSITA POLITECNICA DELLE MARCHE,4.740705249738163,216.0,392601.1889562164,IT
LINKOPINGS UNIVERSITET,4.729800368673614,264.0,318995.2619618281,SE
